Entidad federativa,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008  (unidades: miles de toneladas)
Aguascalientes,239,241,237,243,274,299,314,327,334,358,370
Baja California,796,799,793,813,847,1027,1083,1126,1168,1187,1232
Baja California Sur,40,37,36,39,43,117,131,131,139,151,157
Campeche,144,86,58,58,58,59,60,71,73,78,109
Chiapas,104,113,109,112,116,119,131,306,313,323,328
Chihuahua,774,767,752,784,814,848,910,923,953,932,1024
Coahuila,469,461,441,452,462,520,567,568,581,609,623
Colima,80,78,77,80,82,84,87,89,91,95,97
Distrito Federal,4221,4351,4351,4351,4351,4380,4500,4563,4599,4698,4745
Durango,259,263,259,266,271,277,310,347,353,374,381
Estado de Mexico,2792,2774,2658,3429,3019,3296,3406,3527,3598,3472,3548
Guanajuato,235,234,707,728,931,993,1061,1067,1088,1140,1191
Guerrero,35,35,32,284,289,296,309,363,367,379,379
Hidalgo,82,88,83,86,88,91,97,132,134,158,177
Jalisco,1776,1767,1699,1743,1781,1836,1935,1967,2005,2141,2196
Michoacan,62,60,58,60,118,347,392,373,379,388,441
Morelos,57,55,52,83,85,111,118,122,124,215,160
Nayarit,0,0,0,0,107,133,153,120,121,142,157
Nuevo Leon,1413,1416,1404,1445,1482,1522,1607,1668,1740,1818,1868
Oaxaca,0,0,0,0,0,0,0,12,12,12,12
Puebla,670,675,662,791,813,1060,1098,1113,1259,1346,1398
Queretaro,314,313,309,321,332,345,367,375,386,405,414
Quintana Roo,224,228,225,168,181,195,209,215,227,298,316
San Luis Potosi,292,303,296,305,312,321,333,334,341,380,413
Sinaloa,407,402,375,384,625,639,691,684,697,702,711
Sonora,297,296,288,298,306,370,360,351,361,387,399
Tabasco,0,0,0,0,0,194,208,206,211,212,216
Tamaulipas,413,401,372,384,442,457,500,516,532,740,777
Tlaxcala,189,191,200,206,212,217,234,238,242,249,256
Veracruz ,241,237,125,430,437,645,707,666,674,737,755
Yucatan,259,266,256,263,269,277,299,297,305,319,325
Zacatecas,0,0,0,0,64,65,128,114,115,176,194
