Entidad federativa,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(unidades miles de toneladas)
Aguascalientes,273.1,276,275.8,285.3,293.4,299.3,313.9,327,334,358,370,
Baja California,835,843.6,941,985.2,1027.4,1073.1,1131.5,1175,1219,1241,1288,
Baja California Sur,126.2,127.6,134.9,140.4,145.7,149.7,164.3,168,177,188,195,
Campeche,232.4,234.8,189.6,191.8,193.3,197.1,219,226,232,237,243,
Chiapas,873,882.1,883,909.4,933.4,960,1033,1055,1080,1110,1132,
Chihuahua,940.4,950.1,993.8,1029.3,1062.5,1098.7,1168,1199,1234,1212,1237,
Coahuila ,676.4,683.4,683.3,700.6,715.8,733.7,784.8,803,819,849,865,
Colima,146.6,148.1,153,158.4,163.3,167.9,171.6,177,181,186,190,
Distrito Federal,4220.9,4350.7,4350.7,4350.7,4350.7,4380,4500.5,4563,4599,4698,4745,
Durango,412.1,416.4,399.7,406.7,412.6,419.8,456.3,456,464,478,485,
Estado de Mexico,5038.9,5091.1,4972.7,5148.3,5310.9,5475,5708.6,5902,6051,6026,6169,
Guanajuato,1363.3,1377.4,1371.3,1406.5,1437,1471,1554.9,1584,1613,1653,1683,
Guerrero,808,816.4,765,783.3,799.2,817.6,839.5,858,869,865,871,
Hidalgo,505.2,510.4,510.7,523.7,535.5,547.5,569.4,586,595,624,635,
Jalisco,2235.6,2258.8,2168.2,2221,2267.1,2317.8,2427.3,2482,2528,2654,2710,
Michoacan ,964.6,974.6,963.6,982,997.5,1014.7,1076.8,1091,1106,1091,1100,
Morelos,443.2,447.8,458.9,471.7,483.2,492.8,525.6,538,548,538,548,
Nayarit,236.4,238.9,229.7,234.3,238.1,240.9,262.8,266,270,276,279,
Nuevo Leon,1470.3,1485.6,1497,1540.2,1579,1620.6,1708.2,1752,1796,1871,1914,
Oaxaca,675,681.9,685.1,702.5,720.5,730,773.8,792,803,797,803,
Puebla,1309.2,1322.2,1347.7,1386.7,1422.7,1460,1503.8,1548,1593,1664,1736,
Queretaro,385.9,389.9,416,431.9,446.6,463.6,489.1,504,518,548,562,
Quintana Roo,243.1,245.6,269.2,285.1,301.2,317.6,335.8,352,369,407,425,
San Luis Potosi,587.6,593.6,579.4,592.7,604.4,616.9,631.5,646,657,703,714,
Sinaloa,789.8,798,759.4,776.4,790.7,806.7,861.4,872,889,878,887,
Sonora,651.1,657.9,660.4,675.8,689.2,704.5,766.5,785,803,816,832,
Tabasco,516.7,522.1,521.3,536.2,549.5,562.1,591.3,602,617,619,628,
Tamaulipas,809.4,817.8,850.6,877.8,902.7,930.8,1011.1,1038,1068,1071,1095,
Tlaxcala,217.1,219.3,229.8,236.7,243.4,248.2,266.5,274,279,286,294,
Veracruz ,1807.7,1826.4,1724.4,1754.3,1779.6,1806.8,1914,1928,1952,2011,2035,
Yucatan,431.1,435.6,437.9,449.2,459.5,470.9,496.4,509,522,551,562,
Zacatecas,325.3,328.6,310.6,314.7,318,321.2,346.8,347,350,359,363,
