Entidad federativa,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nacional,14129,14765,16753,18746,20290,21503,23126,22492,21434,24570,29417,29009,26424,30452,25397,31763,29731,29110
Aguascalientes,282,285,347,347,348,352,352,352,352,363,367,220,ND,ND,424,463,470,481
Baja California,29,25,201,52,29,234,235,239,242,270,271,282,282,250,250,250,251,251
Baja California Sur,139,139,139,112,112,113,114,114,106,106,93,89,73,106,106,78,78,106
Campeche,218,225,ND,280,300,314,338,379,415,423,444,447,457,459,459,424,427,445
Chiapas,111,1289,1979,2314,3108,3123,3431,3433,3549,3628,3707,3825,3845,3910,4017,4064,0,ND
Chihuahua,822,859,895,934,938,943,1041,1417,1516,1516,1515,1511,1512,1536,1548,1559,1561,1538
Coahuila ,334,ND,ND,ND,ND,221,ND,ND,328,321,362,348,332,ND,354,313,335,343
Colima,173,187,205,205,208,209,210,209,161,195,193,192,188,197,199,199,177,201
Distrito Federal,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Durango,1690,1421,1776,2088,2088,2105,2105,2150,1267,1243,1156,1166,1030,809,955,809,970,1011
Estado de Mexico,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Guanajuato,1510,ND,113,ND,ND,203,203,215,217,217,308,308,308,308,308,308,299,262
Guerrero,1155,ND,ND,ND,ND,ND,1874,ND,ND,ND,ND,ND,1157,1197,1234,1263,1334,1394
Hidalgo,495,1031,1087,ND,1503,1503,ND,ND,ND,92,134,154,173,276,306,332,349,380
Jalisco,ND,ND,ND,66,67,65,ND,ND,102,104,109,112,116,86,89,13,16,16
Michoacan,ND,ND,ND,118,ND,16,16,ND,ND,1,1,1,1,1,1,1,1,1
Morelos,51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,363,372,373,373
Nayarit,ND,ND,33,33,33,39,40,41,45,29,30,20,22,23,24,24,24,25
Nuevo Leon,ND,ND,ND,ND,ND,ND,ND,ND,ND,238,239,2583,ND,2638,ND,ND,2914,3008
Oaxaca,1628,1628,1627,1709,1741,1762,1776,1776,1779,1793,1798,1798,1802,1941,1990,2002,2009,2026
Puebla,50,1242,1310,1504,1792,2037,2064,2201,2232,2283,2283,2347,2414,2481,2537,2575,2601,2621
Queretaro,356,383,396,527,432,ND,563,596,626,579,673,981,1130,1277,1305,1333,583,961
Quintana Roo,259,258,278,277,277,278,278,267,291,295,295,298,299,299,299,299,299,299
San Luis Potosi,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1119,ND,ND,ND,1210,1296,1371,1413
Sinaloa,1214,1266,1317,1380,1445,1506,1534,1563,1607,1645,1666,1672,1676,1685,1726,1737,1751,462
Sonora,ND,588,697,697,697,ND,ND,700,700,700,783,ND,ND,ND,1019,1041,924,924
Tabasco,566,679,722,834,883,925,1047,1039,1049,1177,1200,1214,1222,1297,1310,1391,1437,1460
Tamaulipas,900,974,ND,1258,ND,1140,1129,1141,ND,168,1245,ND,ND,1089,899,899,859,365
Tlaxcala,442,450,450,548,752,752,752,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,334
Veracruz,444,471,1647,1842,1872,1872,2226,2378,2422,4810,7044,7044,5977,6132,ND,6262,5871,5942
Yucatan,387,449,511,561,563,645,645,680,714,640,641,641,649,649,649,634,634,634
Zacatecas,874,916,1023,1060,1102,1146,1153,1602,1714,1734,1741,1756,1759,1806,1816,1822,1813,1834
