Entidad federativa,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nacional,3935,4105,4225,5359,5497,6457,5835,6267,6313,7405,7612,7663,8304,10647,7697,9871,14799,15070
Aguascalientes,282,285,241,241,308,291,292,292,292,312,313,313,ND,ND,ND,379,403,417
Baja California,18,11,14,ND,ND,ND,ND,13,13,14,14,43,51,13,14,14,15,17
Baja California Sur,10,10,10,15,17,17,20,20,20,13,12,ND,15,9,20,16,17,22
Campeche,4,4,4,6,17,23,23,23,23,23,23,23,23,25,25,25,25,25
Chiapas,254,257,295,296,296,346,349,349,367,391,400,402,408,412,420,453,1080,1103
Chihuahua,119,126,136,160,180,187,218,240,260,266,281,286,289,297,313,324,332,345
Coahuila ,55,ND,ND,ND,29,29,ND,56,ND,ND,65,96,93,ND,99,121,136,130
Colima,ND,58,65,65,67,69,69,69,73,69,71,79,81,84,86,90,83,92
Distrito Federal,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Durango,1159,922,1161,1212,1212,1212,1115,1255,1040,1040,1230,1184,924,784,819,785,848,868
Estado de Mexico,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,573,853,2170,1674
Guanajuato,586,ND,ND,195,ND,205,205,217,217,217,ND,ND,ND,ND,ND,ND,ND,ND
Guerrero,48,58,ND,140,140,160,181,220,220,ND,ND,ND,385,ND,ND,ND,ND,ND
Hidalgo,62,157,157,452,522,522,ND,ND,ND,23,37,39,39,48,55,62,73,86
Jalisco,ND,ND,ND,ND,ND,65,ND,ND,115,115,122,122,20,20,20,20,20,20
Michoacan ,ND,ND,ND,ND,ND,16,ND,ND,ND,ND,1,1,1,1,1,1,1,1
Morelos,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,297,344,355
Nayarit,52,51,56,58,66,67,69,76,80,80,82,83,86,89,91,91,91,94
Nuevo Leon,ND,ND,ND,ND,ND,ND,ND,ND,ND,61,64,67,ND,2605,ND,ND,2760,2815
Oaxaca,ND,ND,ND,ND,ND,217,225,245,252,265,274,294,318,333,356,358,360,365
Puebla,88,430,472,591,800,848,852,873,883,1043,1094,1166,1295,1399,1469,1513,1530,1556
Queretaro,174,177,177,178,206,213,214,273,278,174,ND,ND,411,471,494,561,222,290
Quintana Roo,5,6,6,6,6,6,6,6,8,8,13,15,13,15,15,17,17,17
San Luis Potosi,ND,376,432,ND,ND,ND,ND,ND,ND,ND,312,374,538,556,979,ND,1088,1171
Sinaloa,139,147,155,170,183,213,214,241,254,273,293,316,323,342,376,397,410,270
Sonora,ND,86,86,96,96,331,333,333,338,338,172,ND,ND,ND,226,229,233,233
Tabasco,100,104,105,126,129,130,148,155,180,184,184,196,214,229,254,291,294,522
Tamaulipas,63,63,ND,56,ND,51,51,ND,ND,ND,68,65,ND,89,92,92,86,86
Tlaxcala,227,235,ND,599,494,494,494,ND,ND,729,729,729,ND,ND,ND,ND,ND,303
Veracruz,155,203,280,304,315,315,315,496,536,901,901,920,1926,1935,ND,1967,1243,1272
Yucatan,ND,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Zacatecas,335,336,370,390,411,427,439,812,861,863,854,847,848,887,896,911,914,917
