Estado,viviendas particulares habitadas,1,2,3,4,5,6,7,,Promedio de HxV
Aguas Calientes,289444,22592,41102,52144,66096,53019,27715,26776,1144429,4.633
Baja California,853254,101930,145511,171924,197674,132904,58916,44395,3028201,3
Baja California Sur,174441,19680,30895,37337,41333,25949,11117,8130,612170,3
Campeche,211555,19304,33882,41762,49272,34309,16730,16296,795439,3
Chiapas,1072239,68668,138061,185835,227585,179606,114955,157529,4503098,4
Chihuahua,910198,96913,159290,186447,216101,145125,62209,44113,3246908,3
Coahuila,714967,61902,113209,140196,173648,131248,55595,39169,2667493,3
Colima,177672,20331,30833,36832,41798,27298,11316,9264,628919,3
Distrito Federal,2386605,266883,443262,500392,561415,324008,151275,139370,8403523,3
Durango,398342,33514,58492,72444,88761,72138,37764,35229,1556751,3
Estado de Mexico,3687193,244158,507986,707846,939834,650382,319252,317735,14534571,3
Guanajuato,1266235,86254,172945,219010,274375,224694,128907,160050,5203936,4
Guerrero,804801,75170,121718,139217,155634,126012,80318,106732,3217885,3
Hidalgo,662341,55564,98263,121307,156509,113374,58631,58693,2571554,3
Jalisco,1801306,157440,278144,326767,391810,312276,166461,168408,7000271,3
Michoacan,1066061,90212,167315,196164,227987,179496,99713,105174,4157258,3
Morelos,460370,45011,76180,90817,107630,72109,35518,33105,1705730,3
Nayarit,288522,30747,48933,57899,65751,45605,21061,18526,1049387,3
Nuevo Leon,1190804,93422,187114,233350,296682,214066,91089,75081,4496859,3
Oaxaca,934055,87547,146993,166660,194321,147474,88283,102777,3645304,3
Puebla,1373171,106823,195478,243768,302839,233730,134645,155888,5508175,4
Queretaro,449923,36069,66761,85132,105345,75845,38547,42224,1752442,3
Quintana Roo,362762,43971,65496,75161,81892,50303,24230,21709,1276872,3
San Luis Potosi,631336,53871,95203,114783,136291,106472,60118,64598,2479044,3
Sinaloa,709748,59671,109797,137953,165389,129387,59060,48491,2695412,3
Sonora,703956,72699,113766,139342,164599,121194,52387,39969,2576728,3
Tabasco,558882,44468,84212,110427,129956,94191,48454,47174,2155894,3
Tamaulipas,867935,89859,151689,178552,203489,138537,61221,44588,3114976,3
Tlaxcala,272365,16852,33632,46730,64844,52423,27502,30382,1123483,4
Veracruz ,1982612,187452,332704,405952,458818,290459,152204,155023,7356668,3
Yucatan,502948,48683,82329,96833,113134,80801,39600,41568,1888957,3
Zacatecas,372513,30760,58601,69130,81749,65649,35359,31265,1441602,3
