ESTADO,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
Aguascalientes,5.8,0.3,2.2,0.4,56,119.6,103.7,92,93.3,33.5,22.2,5.7,44.55833333
Baja California,3.6,14.3,9.6,3.3,1.8,0.7,3.2,9.4,2.9,6.9,1.4,27.9,7.083333333
Baja California Sur,2.3,0.5,1.8,0.1,1.5,8.4,64,68.5,164.5,17.8,2.9,2.4,27.89166667
Campeche,83.3,27.7,24.3,45.4,165.6,209.8,131.1,206.5,231.1,189.2,49.1,27,115.8416667
Chiapas,67.3,19.6,37.9,93.6,262.3,348.2,150,225.5,461.7,291.5,80.1,18.5,171.35
Chihuahua,1.2,0.6,11,1.2,1.8,41.2,116.2,136.4,132.3,9.1,32.5,6.6,40.84166667
Coahuila,4.6,2.3,7.9,5.6,40.4,58.2,44.4,61,99.4,23.9,66.1,10.1,35.325
Colima,3.8,0.1,0.2,0.1,108.7,438.7,242.6,286.1,437.6,154.4,237.7,10.4,160.0333333
Distrito Federal,0.4,1.4,10.9,21.8,60,96.4,99,108.2,98.3,92.6,7.1,19.6,51.30833333
Durango,5.3,0.6,4.9,0.3,7,77.1,101.2,111.5,112.1,18.7,55.3,2.6,41.38333333
Estado de Mexico,3.1,2.9,6.1,17.9,111.2,183.5,142.5,134.1,148.2,104.1,11.1,20,73.725
Guanajuato,4.4,0.3,4.3,9.2,75.8,158.8,127.9,109.1,106.7,65.7,11.9,4.9,56.58333333
Guerrero,1.8,0.2,1,6.9,134.1,216.5,104.5,244.4,281.4,191.3,28.5,13.4,102
Hidalgo,9.6,4.6,19.9,24,77.7,151,85.2,70.9,164.9,107.9,19.6,19.5,62.9
Jalisco,6.3,0,1.3,1.6,58.9,226.6,157.3,189.2,183.7,87.9,63.2,5.5,81.79166667
Michoacan,4.5,0.6,1.4,5,94.7,203.8,139.7,159.5,158.7,84.7,27.4,5.1,73.75833333
Morelos,0.3,0.1,2.3,31.2,194.5,451.4,196.1,261.2,407,193.9,10.5,29.3,148.15
Nayarit,9.2,0.2,1.1,1.3,18.8,263.9,170.9,348.4,247,138,88.5,5.8,107.7583333
Nuevo Leon,7,8.1,24.9,12.2,71.1,68,48.2,55.4,221.4,69.3,59.7,38.1,56.95
Oaxaca,7.8,4.3,10.6,17.4,113.7,258.9,103.3,159.9,255.4,209.9,25,19.4,98.8
Puebla,11.2,5.8,33.7,35.4,161.2,308,147.8,144.1,217.4,171.4,33.1,34.3,108.6166667
Queretaro,6.2,1.6,11.3,17.2,71.7,202,114.5,96.5,154.6,77.2,10.2,10.3,64.44166667
Quintana Roo,112.1,34.9,41,39.9,209.9,97.7,73.1,127.2,234.4,271.7,73.9,42.7,113.2083333
San Luis Potosi,17.5,4.2,22.6,16.5,67.2,141.9,138.5,71.4,196.6,81,26.5,24.4,67.35833333
Sinaloa,1.4,0.2,7,0.2,2.4,104.6,235.1,241,202.7,25.8,54.2,1.8,73.03333333
Sonora,0.5,0.7,10.1,0.5,1,8.6,138.5,146.4,139.3,14.3,12.4,8.4,40.05833333
Tabasco,177.7,38.8,70.5,133.4,274.7,264.6,178.2,193,372,411.1,232.9,47.6,199.5416667
Tamaulipas,10.8,10.8,43,15.6,101.3,108.5,79.9,56.4,345.6,97.4,43.4,42.4,79.59166667
Tlaxcala,3.5,1.2,19.1,20.1,119.8,211.3,125.1,113.9,138.7,101.3,9.8,21.2,73.75
Veracruz,33.4,10.7,35.5,25.4,126.5,255.7,155.6,148.6,355.5,270.1,67.2,53.2,128.1166667
Yucatan,92.3,31,10.5,19,175.1,83.6,111.3,177,193.9,203.6,36,14.8,95.675
Zacatecas,10.4,0.4,4,2,32.9,105.5,83.5,95.5,108.8,42.4,36.4,12.7,44.54166667
