ESTADO,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
Aguascalientes,23.6,26.3,29,31.6,33.3,30.4,28.3,28.9,27,26.1,25.1,23.9,27.79166667
Baja California,20.6,17.2,23.6,25.1,26.9,31.3,32.1,33.6,32.1,28.1,20.9,17.4,25.74166667
Baja California Sur,24.2,24.5,28,29.2,30.6,32,34.9,35,35.5,33.3,27.3,23.1,29.8
Campeche,29.7,31.2,33.5,36.5,37.6,33.7,33.8,33.8,32.7,30.6,29.8,28.8,32.64166667
Chiapas,29,29.9,31.3,32.9,34.2,30.7,30.4,30.4,29.7,27.8,28.9,27.2,30.2
Chihuahua,20.2,23.1,28.6,31.2,33.3,35.6,32.6,32.7,31.6,28.7,22.6,17.8,28.16666667
Coahuila,21.2,25.1,30.7,35.3,35.9,35.7,35.9,36.8,34.8,30.6,26.1,19.6,30.64166667
Colima,31.1,31.3,30.8,31.5,33.5,32,31.3,31.6,32,31.8,31.5,30.8,31.6
Distrito Federal,22.5,24.3,25.3,27.9,28.7,24.8,23.3,24.5,23.2,22.5,22,21.7,24.225
Durango,22,24.8,29,31.6,32.7,33.5,30.8,31,29.3,28.3,24.2,21.4,28.21666667
Estado de Mexico,20.6,22.1,23.7,25.2,26.6,22.4,20.9,21.2,20.5,20,20.3,20.1,21.96666667
Guanajuato,24.2,26.4,28.6,31.5,33.2,29,27.3,27.5,26.9,26.1,25.4,25.2,27.60833333
Guerrero,30.7,32.1,32.5,33.7,34.9,31.6,29.8,29.8,30.4,30.7,31.2,30,31.45
Hidalgo,23.7,25.5,27.3,29.8,30.4,26.1,24.3,25.4,24.3,23.1,23,22.8,25.475
Jalisco,26.4,28.6,31,32.6,34.4,31.1,28.8,28.8,28.8,27.8,26.7,26.3,29.275
Michoacan,25.3,26.7,28.9,34.2,32.7,28.6,26.9,27.2,27.4,27.2,26.6,26.7,28.2
Morelos,28.2,29.5,32,33.7,33.1,29.4,28.1,27.8,27.8,27.6,28.3,27.4,29.40833333
Nayarit,30.1,31.3,32.7,33.7,35.6,34.1,32.8,32.8,33.2,33.1,32.1,29,32.54166667
Nuevo Leon,21.5,25.9,30.7,33,35.7,35,34.3,36.7,35.2,29.8,26.5,20.4,30.39166667
Oaxaca,28.4,30.4,32.4,34.6,35.2,31.4,30.5,30.7,29.8,29.1,29.3,28.5,30.85833333
Puebla,23,24.4,26.3,28.8,28.5,25.7,24.6,25.5,24.9,24.1,23.5,23.4,25.225
Queretaro,24.3,25.9,26.7,29.5,30.8,25.9,26.2,26.7,26,25.3,24.6,25.5,26.45
Quintana Roo,30,30.2,31.2,33.1,34.4,31.7,32.9,33.6,33.8,30.7,30.4,29.2,31.76666667
San Luis Potosi,24.9,26.7,32.4,35.9,36.5,33.6,31.4,32.8,32.1,29.7,27.2,25,30.68333333
Sinaloa,28.3,29.1,33,33.4,35.6,35.3,35.5,34.5,35.9,35.7,30.8,26,32.75833333
Sonora,23.3,24,30.2,31.7,34,38,37.3,36.7,37.1,33.9,25.2,19.6,30.91666667
Tabasco,27.1,28.5,31.4,34.6,35.6,32.5,32.1,32.4,30.8,28.8,28.3,26.9,30.75
Tamaulipas,23.4,25.4,30.9,34.5,34.9,34.6,34,35.2,35,31,28,23,30.825
Tlaxcala,21.4,23.6,25,27,26.8,24.1,22.1,23.9,22.8,22.6,22.5,22.8,23.71666667
Veracruz,24.8,26.1,29.7,33.5,33.6,31,29.5,30.5,29.5,27.7,26,24,28.825
Yucatan,29.4,31.2,33.6,36.9,37.4,33.3,33,33.5,33,29.7,29.3,28.5,32.4
Zacatecas,22.7,25.3,28.6,31,32.6,30.2,27.3,27.8,26.1,25.5,24.2,23.3,27.05
