ESTADO,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
Aguascalientes,12.8,15.2,17.9,20.5,22.4,22,21.3,20.8,19.4,17.3,15.2,14.1,18.24166667
Baja California,14.1,11.1,16.3,18.1,19.6,23.7,25.5,26.3,25.3,21,14.8,10.5,18.85833333
Baja California Sur,16.5,16.4,19.7,21.1,22.8,25,28.7,28.9,29.4,26.3,20.8,17,22.71666667
Campeche,23.4,25,27,29.5,30.7,28.2,28.4,28,27.7,25.8,24.8,23.8,26.85833333
Chiapas,22.2,23.1,24.4,26.1,27.7,25.4,25.3,24.9,24.9,23,23,21.2,24.26666667
Chihuahua,10.5,12,17.8,20.8,23,26.7,25.4,24.9,23.3,19.3,13.4,9.3,18.86666667
Coahuila,13,15.8,21.8,25.9,27.5,28.2,28.8,29.1,26.9,22.7,17.8,12.9,22.53333333
Colima,22.7,23.8,23.9,25,27.6,27,26.7,26.6,27.2,26.8,25.4,24.3,25.58333333
Distrito Federal,14.6,16.7,17.2,20.1,21.4,18.9,18,18.6,17.6,16.2,15.5,14.1,17.40833333
Durango,11.5,13.3,17.9,20.3,22.3,24.4,23.2,23,21.1,18.9,14.3,11.5,18.475
Estado de Mexico,11.6,13.4,14.4,16.6,18.3,15.7,15.3,15,14.1,12.8,12.9,11.5,14.3
Guanajuato,14.7,16.8,18.7,21.8,23.8,21.8,21.1,20.3,19.6,17.4,16.1,15.4,18.95833333
Guerrero,22.8,24.5,25.1,26.7,28.3,26.2,24.9,24.5,25.3,24.8,24.6,23.1,25.06666667
Hidalgo,14.9,16.5,17.7,20.9,22.2,19,18.8,18.9,17.7,15.8,15.3,14.3,17.66666667
Jalisco,16.4,18.4,20.5,22.6,24.6,23.9,22.8,22.3,22.1,20.5,18.4,17.5,20.83333333
Michoacan,15.2,17.2,19,24.8,23.5,21.6,21,20.8,20.5,19.2,17.6,17.2,19.8
Morelos,18.4,20.4,22.6,24.8,24.8,22.7,22.1,21.3,21.6,20.2,20.2,18.4,21.45833333
Nayarit,20.1,20.9,23,24.2,27.1,28.1,27.6,27.1,28,27.3,24.5,21.2,24.925
Nuevo Leon,14,17,22.3,24.7,28.1,27.9,27.9,28.9,27.4,22.5,18.7,14,22.78333333
Oaxaca,21.5,23.1,24.7,27,28.4,25.9,25.4,24.9,24.6,23.2,22.5,21.2,24.36666667
Puebla,14.8,16.1,17.6,20.1,20.7,18.9,18.8,18.9,18.4,16.7,16.1,15.2,17.69166667
Queretaro,15.2,16.5,17.6,21.2,22.8,19.6,20.5,20.1,19,17.5,16.3,16.6,18.575
Quintana Roo,24,24.8,26.1,28.3,29.3,27.5,28.6,28.5,28.8,26,25.3,24.6,26.81666667
San Luis Potosi,17.5,18.2,23.8,27.2,28.4,26.4,25.8,26.2,25.2,22.3,20.1,17,23.175
Sinaloa,18.3,18.5,22.5,23.8,26.4,29.2,29.6,28.7,29.9,27.9,22.3,17.5,24.55
Sonora,13.9,14,19.5,21.8,23.9,28.9,30,29.5,29.1,24.3,17,12,21.99166667
Tabasco,22.6,23.6,25.8,28.5,29.6,27.3,27.2,27.2,26.5,24.9,23.9,21.8,25.74166667
Tamaulipas,17,18.2,23.8,27.4,28.6,28.6,28.6,29.1,28.5,24.3,21.1,17.4,24.38333333
Tlaxcala,11.5,13.7,14.3,17,17.8,16.1,15.8,16.2,15.7,13.9,13.5,12.6,14.84166667
Veracruz,19.5,20.1,23,26.7,27.3,25.5,24.9,25.2,24.5,22.4,20.9,19,23.25
Yucatan,22.4,24.1,26,28.8,29.7,27.7,27.7,27.5,27.6,24.8,23.8,23.1,26.1
Zacatecas,11.9,14.2,17.5,19.9,21.8,21.7,20.3,20.1,18.8,16.8,14.1,13.2,17.525
