Entidad federativa,1990,1995,2005,2010,Numero de Viviendas
Nacional,19361472,21512236,24006357,28159373,
Aguascalientes,172443,199398,242169,289575,
Baja California,502160,559402,682136,858676,
Baja California Sur,88127,104341,129284,175046,
Campeche,137215,156125,181235,211632,
Chiapas,689848,778845,889420,1072560,
Chihuahua,662247,733379,813273,910647,
Coahuila,486179,539169,615408,715158,
Colima,110368,124714,143648,177848,
Distrito Federal,2005084,2102753,2215451,2388534,
Durango,299536,322288,352652,398471,
Estado de Mexico,2437704,2743144,3100599,3689053,
Guanajuato,831554,918822,1034957,1266772,
Guerrero,588886,651149,689108,805230,
Hidalgo,427751,491482,551219,662651,
Jalisco,1236662,1378666,1534454,1802424,
Michoacan,779128,846333,896061,1066630,
Morelos,321277,354035,386419,460868,
Nayarit,199153,219181,240225,288680,
Nuevo Leon,790941,878600,994983,1191114,
Oaxaca,651228,738087,791113,934471,
Puebla,920317,1028692,1179283,1373772,
Queretaro,250342,295143,349540,450104,
Quintana Roo,163274,210482,249375,363066,
San Luis Potosi,441111,489828,551617,631587,
Sinaloa,509297,572816,622422,709960,
Sonora,473897,527427,598335,705668,
Tabasco,354789,410388,467229,559114,
Tamaulipas,595097,677489,767349,868244,
Tlaxcala,171662,193288,231095,272507,
Veracruz,1461960,1597311,1757567,1983543,
Yucatan,329598,371242,426292,503106,
Zacatecas,272637,298217,322439,372662,
