ESTADO,semana1,semana2,semana3,semana4,semana5,semana6,semana7,semana8,semana9,semana10,semana11,semana12,semana13,semana14,semana15,semana16,semana17,semana18,semana19,semana20,semana21,semana22,semana23,semana24,semana25,semana26,semana27,semana28,semana29,semana30,semana31,semana32,semana33,semana34,semana35,semana36,semana37,semana38,semana39,semana40,semana41,semana42,semana43,semana44,semana45,semana46,semana47,semana48,semana49,semana50,semana51,semana52,
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Baja California Sur,1,0,0,1,3,2,0,0,0,0,6,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,2,2,1,3,2,3,6,0,3,0,0,46
Campeche,0,0,0,5,0,2,4,0,5,0,0,1,0,0,17,0,2,0,8,0,0,0,0,0,0,23,0,3,2,8,0,7,3,0,12,16,12,0,46,8,33,35,35,64,37,74,31,31,56,0,0,0,580
Chiapas,0,6,0,14,10,1,7,0,5,7,3,9,3,3,19,4,11,10,10,17,13,12,12,16,3,14,17,11,4,18,28,15,14,30,24,8,6,35,20,25,33,22,7,23,10,12,13,3,6,11,1,4,609
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Colima,0,0,1,3,5,3,1,2,3,2,7,3,2,3,3,3,2,6,5,3,2,5,5,4,3,9,6,4,0,2,2,4,8,1,2,6,2,8,2,1,3,5,4,2,13,0,9,2,1,4,0,5,181
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,10
Estado de Mexico,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,0,1,3,8,3,5,3,3,6,6,2,6,6,9,9,2,14,2,5,4,1,8,10,8,5,14,12,20,17,19,27,23,15,14,21,25,14,24,18,26,26,13,23,11,6,11,19,10,6,7,3,0,553
