ESTADO,lat,lon
Aguascalientes,21,-102
Baja California,25,-102
Baja California Sur,24,-111
Campeche,19,-97
Chiapas,19,-96
Chihuahua,22,-103
Coahuila,15,-92
Colima,29,-107
Distrito Federal,21,-100
Durango,19,-96
Estado de Mexico,18,-90
Guanajuato,16,-93
Guerrero,16,-93
Hidalgo,19,-99
Jalisco,19,-103
Michoacan,20,-102
Morelos,22,-102
Nayarit,21,-104
Nuevo Leon,27,-102
Oaxaca,17,-96
Puebla,16,-91
Queretaro,20,-100
Quintana Roo,26,-101
San Luis Potosi,22,-101
Sinaloa,27,-102
Sonora,17,-100
Tabasco,21,-102
Tamaulipas,23,99
Tlaxcala,18,98
Veracruz,18,-96
Yucatan,21,-87
Zacatecas,23,103
